abscess,103
anaal nathrakh,43
arch enemy,114
at the gates,74
autopsy,115
bloodbath,61
bolt thrower,95
cannibal corpse,167
carcass,88
carnifex,66
cattle decapitation,124
cephalotripsy,9
children of bodom,100
dark tranquillity,163
darkane,55
death,62
deathchain,47
decapitated,54
devourment,32
disembowelment,9
dismember,89
dying fetus,88
dyscarnate,27
edge of sanity,68
esoteric,41
evoken,41
fleshgod apocalypse,39
gorefest,72
grave,101
immolation,103
in flames,163
macabre,105
massacre,33
morbid angel,103
mortem,32
mortification,160
mournful congregation,30
napalm death,288
necronomicon,31
necrophagia,58
nile,96
pig destroyer,134
possessed,24
psycroptic,54
repugnant,10
salt the wound,25
septic flesh,104
sepultura,193
six feet under,168
skepticism,32
skinless,42
soilwork,139
spawn of possession,27
suffocation,72
suicide silence,64
ulcerate,48
unleashed,139
